ID,Sektor,Total_Kons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
23,Ind. Pengolahan & pengawetan makanan,55.65404245,6.0578701,0.004035233,0,0,0.317937773,0.691328659,0,3.989840682,0.467637858,0,1.262705879,6.364405276,0,0,6.99172E-05,0.000642877,0,34.43308734,2.064480864,0,0,0,0,0,0,0
24,Ind. B e r a s,1125.749352,122.536352,0.081623205,0,0,6.431127487,13.98393998,0,80.70501913,9.459205346,0,25.54154671,128.736832,0,0,0.001414259,0.013003883,0,696.4997336,41.75955405,0,0,0,0,0,0,0
25,Ind. Susu dan makanan dari susu,909.1315639,98.9577877,0.065917188,0,0,5.193643666,11.29313661,0,65.17568067,7.639055831,0,20.62681739,103.9651653,0,0,0.001142126,0.010501663,0,562.4785758,33.72413994,0,0,0,0,0,0,0
26,Ind. Tepung terigu & tepung lainnya,12.55392033,1.366477891,0.00091023,0,0,0.07171744,0.155943477,0,0.899991085,0.105485391,0,0.284829427,1.43562324,0,0,1.57713E-05,0.000145014,0,7.767095002,0.465686357,0,0,0,0,0,0,0
27,"Ind. Roti, biskuit dan sejenisnya",308.383866,33.56718252,0.022359577,0,0,1.761720719,3.83071193,0,22.10805253,2.591221846,0,6.996762562,35.26572046,0,0,0.000387417,0.003562238,0,190.7967171,11.43946714,0,0,0,0,0,0,0
28,"Ind. Mie, makaroni dan sejenisnya",43.02277909,4.68297352,0.003119395,0,0,0.245778491,0.534424434,0,3.084304872,0.361502586,0,0.976121656,4.919937352,0,0,5.40487E-05,0.00049697,0,26.61814029,1.595925475,0,0,0,0,0,0,0
29,Ind. G u l a,372.0099701,40.49280116,0.02697283,0,0,2.125200908,4.6210687,0,26.66941066,3.125845636,0,8.440342438,42.54178335,0,0,0.000467349,0.004297204,0,230.1621091,13.7996708,0,0,0,0,0,0,0
30,"Ind. Biji-bijian kupasan, coklat & kembang gula",107.6228325,11.71460527,0.007803265,0,0,0.614822612,1.3368795,0,7.715485464,0.904310068,0,2.441798967,12.30737774,0,0,0.000135205,0.001243185,0,66.58611358,3.992257677,0,0,0,0,0,0,0
31,Ind. Kopi giling dan Teh,31.27236696,3.403956449,0.002267424,0,0,0.178651294,0.388462051,0,2.241917324,0.262768742,0,0.709522613,3.57620055,0,0,3.92869E-05,0.000361237,0,19.34817482,1.16004517,0,0,0,0,0,0,0
32,Ind. pengolahan kedele,438.5120893,47.73147029,0.03179461,0,0,2.505111059,5.447151026,0,31.43695042,3.684635388,0,9.949174738,50.14673744,0,0,0.000550895,0.00506539,0,271.3068881,16.26655993,0,0,0,0,0,0,0
